datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk
2022-08-26T00:00:00,21.1,21.1,18.1,82.79,0,0,,0,0,13,7.2,75,1016.1,0,34.4,0,,0,10
2022-08-26T01:00:00,21.2,21.2,18.3,83.38,0,0,,0,0,11.5,7.4,63,1015.8,56.9,34.5,0,,0,10
2022-08-26T02:00:00,21,21,18.1,83.07,0,0,,0,0,16.9,5.4,16,1015.4,87.2,30.1,0,,0,3
2022-08-26T03:00:00,20.6,20.6,17.8,84.16,0,0,,0,0,15.1,5.2,34,1015.1,13,29.7,0,,0,3
2022-08-26T04:00:00,20.7,20.7,18,84.61,0,0,,0,0,11.2,5.8,32,1015,34.5,20.7,0,,0,3
2022-08-26T05:00:00,20.2,20.2,18.2,87.93,0,0,,0,0,12.2,8.1,74,1014.8,0,25.4,0,,0,3
2022-08-26T06:00:00,20.1,20.1,18.1,88.27,0,0,,0,0,12.6,5.5,37,1014.5,11.7,18.7,0,,0,3
2022-08-26T07:00:00,20.4,20.4,18.5,88.58,0,0,,0,0,14.8,8.8,74,1014.4,0,33.8,46,0.2,0,3
2022-08-26T08:00:00,21.5,21.5,18.8,84.53,0,0,,0,0,15.1,8.2,69,1014.6,13,27.8,158,0.6,2,10
2022-08-26T09:00:00,23.3,23.3,19.2,77.92,0,0,,0,0,19.1,6.6,78,1014.4,13,25.1,250,0.9,3,10
2022-08-26T10:00:00,25.3,25.3,19.7,71.24,0,0,,0,0,23.8,6.3,80,1014.2,0,25.4,292,1.1,3,10
2022-08-26T11:00:00,26.8,28.2,19.5,64.28,0,0,,0,0,23,8.9,66,1013.9,100,25.8,420,1.5,4,10
2022-08-26T12:00:00,28.1,29.5,19.5,59.59,0,0,,0,0,23.8,10.5,66,1013.5,100,25.9,737,2.7,7,10
2022-08-26T13:00:00,28.5,29.8,19,56.38,0,0,,0,0,24.8,11.4,64,1012.4,100,21.7,503,1.8,5,10
2022-08-26T14:00:00,26.5,26.5,18.6,62.01,1.3,100,rain,0,0,22,12.4,62,1012.1,100,14.3,144,0.5,1,10
2022-08-26T15:00:00,22,22,18.1,78.6,3.49,100,rain,0,0,14.8,12.3,312,1013,100,13.7,33,0.1,0,10
2022-08-26T16:00:00,20.7,20.7,19.3,91.6,3.98,100,rain,0,0,20.5,23.4,313,1012.3,100,4.7,19,0.1,0,10
2022-08-26T17:00:00,19.9,19.9,18.4,91.37,5.2,100,rain,0,0,26.6,22,294,1012.5,100,4.5,25,0.1,0,10
2022-08-26T18:00:00,19.9,19.9,18.8,93.34,5.58,100,rain,0,0,27.7,10.3,60,1011.3,100,13,16,0.1,0,10
2022-08-26T19:00:00,20,20,18.9,93.77,1.52,100,rain,0,0,9.4,9.4,60,1011.5,100,9.4,11,0,0,3
2022-08-26T20:00:00,19.9,19.9,19.1,94.98,0.61,100,rain,0,0,21.6,4.2,246,1011.6,100,7.1,6,0,0,3
2022-08-26T21:00:00,19.5,19.5,18.8,95.64,0.06,100,rain,0,0,15.1,6.4,322,1011.2,100,5.8,0,,0,3
2022-08-26T22:00:00,19.6,19.6,18.7,94.77,0,0,rain,0,0,14.8,8.2,311,1012,100,4.6,0,,0,3
2022-08-26T23:00:00,19.4,19.4,18.5,94.58,0.01,100,rain,0,0,12.2,6.7,2,1012.2,100,11,0,,0,3
2022-08-27T00:00:00,19.2,19.2,18.2,93.99,0.03,100,rain,0,0,10.4,7.3,21,1012.1,100,14.5,0,,0,3
2022-08-27T01:00:00,19.2,19.2,18.3,94.57,0.03,100,rain,0,0,8.6,11.9,331,1011.4,100,10.9,0,,0,3
2022-08-27T02:00:00,19.2,19.2,18.3,95,0,0,,0,0,7.6,8.4,1,1011.5,99.8,10.5,0,,0,3
2022-08-27T03:00:00,19.2,19.2,18.5,95.57,0,0,,0,0,12.2,7.9,1,1011.2,100,11.1,0,,0,10
2022-08-27T04:00:00,19.4,19.4,18.7,95.71,0,0,,0,0,14.8,6.7,354,1011.3,100,7.5,0,,0,10
2022-08-27T05:00:00,19.5,19.5,18.9,96.75,0,0,,0,0,16.2,7.3,326,1011.4,98.8,6.8,0,,0,10
2022-08-27T06:00:00,19.4,19.4,19,97.56,0,0,,0,0,17.6,10.7,300,1011.3,97.7,0.2,0,,0,10
2022-08-27T07:00:00,19.2,19.2,18.9,98.08,0,0,,0,0,20.2,9.3,305,1011.4,100,1.1,12,0,0,10
2022-08-27T08:00:00,19.4,19.4,18.9,97.43,0,0,,0,0,17.3,10,306,1011.4,100,1.4,47,0.2,0,10
2022-08-27T09:00:00,19.4,19.4,18.8,96.04,0,0,,0,0,16.9,9.9,334,1011.7,100,4.9,60,0.2,1,10
2022-08-27T10:00:00,19.7,19.7,18.8,94.8,0,0,,0,0,15.5,9.5,325,1011.9,100,9,100,0.4,1,10
2022-08-27T11:00:00,20.2,20.2,18.9,92.38,0,0,,0,0,14.8,13.2,319,1011.7,100,13.2,90,0.3,1,10
2022-08-27T12:00:00,20.7,20.7,19.1,90.46,0.06,100,rain,0,0,14.8,15.4,311,1011.7,100,13.2,151,0.5,2,10
2022-08-27T13:00:00,21.5,21.5,19.2,86.42,0.01,100,rain,0,0,17.3,11.2,338,1012.2,100,24.8,86,0.3,1,10
2022-08-27T14:00:00,21.8,21.8,19,84.05,0,0,,0,0,17.6,9.8,327,1012.3,100,26.2,102,0.4,1,10
2022-08-27T15:00:00,22.8,22.8,19.1,79.95,0,0,rain,0,0,19.1,10.4,330,1012,100,28,221,0.8,2,10
2022-08-27T16:00:00,23.4,23.4,19,76.07,0,0,rain,0,0,21.6,11.7,353,1011.8,100,40.8,130,0.5,1,10
2022-08-27T17:00:00,23.2,23.2,18.9,76.78,0,0,,0,0,22.7,16,335,1011.8,100,7.2,26,0.1,0,10
2022-08-27T18:00:00,22.2,22.2,19.1,82.55,0.1,100,rain,0,0,24.5,16.6,318,1011.9,100,23.8,83,0.3,1,10
2022-08-27T19:00:00,21.1,21.1,18.5,85.01,0,0,,0,0,25.6,20.1,323,1012.1,100,28,33,0.1,0,10
2022-08-27T20:00:00,20.4,20.4,18.1,86.43,0.03,100,rain,0,0,25.9,17.9,332,1012.8,100,19.3,15,0.1,0,10
2022-08-27T21:00:00,20.1,20.1,17.4,84.98,0.02,100,rain,0,0,24.8,18.5,336,1013.4,100,37.8,0,,0,10
2022-08-27T22:00:00,19.7,19.7,17,84.65,0,0,,0,0,24.5,19.5,340,1013.6,100,39,0,,0,10
2022-08-27T23:00:00,19.5,19.5,17.2,86.85,0,0,,0,0,24.8,17.4,330,1013.8,100,29,0,,0,10
2022-08-28T00:00:00,19.2,19.2,17.6,90.57,0.05,100,rain,0,0,25.2,17.2,323,1013.9,100,24.4,0,,0,10
2022-08-28T01:00:00,18.8,18.8,17.6,92.74,0.75,100,rain,0,0,27,17.3,326,1013.9,99.9,11,0,,0,10
2022-08-28T02:00:00,18.4,18.4,17.3,93.31,1.3,100,rain,0,0,26.3,14,320,1013.8,96,10.7,0,,0,10
2022-08-28T03:00:00,18.1,18.1,16.6,90.98,0.8,100,rain,0,0,26.3,13.3,310,1014.1,97,19,0,,0,10
2022-08-28T04:00:00,17.9,17.9,16.6,92.11,0.02,100,rain,0,0,26.6,15.4,300,1014.1,100,15.4,0,,0,10
2022-08-28T05:00:00,17.5,17.5,16.1,91.55,0,0,,0,0,25.9,15.7,300,1014.1,99.5,11.3,0,,0,10
2022-08-28T06:00:00,17,17,15.4,90.12,0.04,100,rain,0,0,25.9,15.4,299,1014.3,98.5,15.8,0,,0,10
2022-08-28T07:00:00,16.6,16.6,14.8,89.13,0,0,,0,0,27,14,296,1014.8,94.9,20,21,0.1,0,10
2022-08-28T08:00:00,16.1,16.1,14.4,89.14,0,0,,0,0,27.7,14.2,299,1015.2,88.2,21.7,88,0.3,1,10
